case_family,duration_s,method_id,terminal_status,run_count,evaluator_version,source_table,source_table_row,source_sha256
A1,30,A03,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,24,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A04,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,25,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A05,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,26,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A06,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,27,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A07,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,28,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A08,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,29,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A09,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,30,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F01,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,31,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F02,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,32,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F03,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,33,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F04,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,34,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A03,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,35,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A04,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,36,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A05,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,37,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A06,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,38,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A07,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,39,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A08,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,40,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A09,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,41,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F01,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,42,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F02,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,43,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F03,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,44,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F04,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,45,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A03,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,46,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A04,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,47,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A05,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,48,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A06,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,49,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A07,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,50,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A08,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,51,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A09,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,52,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F01,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,53,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F02,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,54,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F03,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,55,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F04,COMPLETED,9,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_COUNTS.csv,56,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,2,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,3,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A05,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,4,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A06,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,5,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A07,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,6,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A08,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,7,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,A09,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,8,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,F01,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,9,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,F02,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,10,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,F03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,11,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,10,F04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,12,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,13,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,14,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A05,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,15,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A06,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,16,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A07,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,17,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A08,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,18,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,A09,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,19,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,F01,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,20,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,F02,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,21,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,F03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,22,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,20,F04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,23,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,24,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,25,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A05,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,26,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A06,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,27,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A07,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,28,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A08,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,29,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,A09,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,30,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F01,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,31,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F02,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,32,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,33,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A1,30,F04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,34,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,35,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,36,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A05,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,37,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A06,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,38,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A07,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,39,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A08,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,40,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,A09,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,41,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F01,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,42,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F02,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,43,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,44,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,10,F04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,45,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,46,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,47,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A05,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,48,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A06,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,49,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A07,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,50,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A08,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,51,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,A09,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,52,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F01,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,53,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F02,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,54,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F03,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,55,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
A2,20,F04,COMPLETED,9,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/FAILURE_COUNTS.csv,56,9623ffb8d83ab9ce7f3c2fe3e239b71b718ffa490a4e41514cc8841bb2d59b48
