parameter,value,unit,source_type,source_path_or_equation,paper_or_code_identity,used_in_official_example,proposed_for_BY2,trace_tuned
official_kinematics_contact_noise_override_std,0.01,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/examples/kinematics.cpp:57-66,HARTLEY_CPP_EF16E8A1,true,false,false
go2_config_angle_random_walk_internal,2.8652488553573575e-4,rad/sqrt(s),BY2_PHYSICAL_INSTANTIATION,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:131;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:564 uses D2R/60",LEGSA_PROJECT_CONFIG_PROVENANCE_UNVERIFIED,false,false,false
go2_config_velocity_random_walk_internal,1.2833333333333334e-3,m/s/sqrt(s),BY2_PHYSICAL_INSTANTIATION,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:132;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:565 uses 1/60",LEGSA_PROJECT_CONFIG_PROVENANCE_UNVERIFIED,false,false,false
go2_config_gyro_bias_gauss_markov_state_std_not_hartley_rw_density,4.547552328807448e-5,rad/s,BY2_PHYSICAL_INSTANTIATION,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:133;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:566 uses D2R/3600",LEGSA_GAUSS_MARKOV_MODEL_NOT_HARTLEY_BROWNIAN_RW,false,false,false
go2_config_accel_bias_gauss_markov_state_std_not_hartley_rw_density,7.78e-4,m/s^2,BY2_PHYSICAL_INSTANTIATION,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:134;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:567 uses 1e-5",LEGSA_GAUSS_MARKOV_MODEL_NOT_HARTLEY_BROWNIAN_RW,false,false,false
go2_config_bias_gauss_markov_correlation_time,3600,s,BY2_PHYSICAL_INSTANTIATION,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:137;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:570 uses times_3600",LEGSA_GAUSS_MARKOV_MODEL_NOT_HARTLEY_BROWNIAN_RW,false,false,false
go2_imu_measurement_or_allan_provenance,UNVERIFIED_NOT_PRESENT_ACTIVE_ALLOWLIST,NA,CURRENTLY_UNKNOWN,No_measurement_or_Allan_source_present,ACTIVE_ALLOWLIST_PROVENANCE_GATE,false,false,false
go2_fk_proxy_translation_covariance,FROZEN_BY2_INPUT_ONLY_FK_PROXY_COVARIANCE,m^2,BY2_PHYSICAL_INSTANTIATION,03_BY2_INPUT_AUDIT/FK_PROXY_COVARIANCE_SUMMARY.json,REAL_BY2_COMPLETE_RECORD_PREFIX_63277_REFERENCE_INDEPENDENT_ROBUST_RESIDUAL_POLICY,false,true,false
go2_fk_proxy_translation_covariance_primary_scale,1.0,dimensionless,BY2_PHYSICAL_INSTANTIATION,03_BY2_INPUT_AUDIT/FK_PROXY_COVARIANCE_SUMMARY.json,H0_H2R_HUMAN_FROZEN_REFERENCE_INDEPENDENT_PRIMARY_SCALE,false,true,false
go2_fk_proxy_translation_covariance_sensitivity_scales,"[0.25,1.0,4.0]",dimensionless,BY2_PHYSICAL_INSTANTIATION,03_BY2_INPUT_AUDIT/FK_PROXY_COVARIANCE_SUMMARY.json,H0_H2R_HUMAN_FROZEN_REFERENCE_INDEPENDENT_SENSITIVITY,false,true,false
go2_contact_force_on_threshold,"FR=34.2;FL=33.8;RR=30.6;RL=32.0",input_native_units,BY2_PHYSICAL_INSTANTIATION,03_BY2_INPUT_AUDIT/CONTACT_THRESHOLD_PROPOSAL.yaml,FROZEN_BY2_INPUT_ONLY_CONTACT_POLICY,false,true,false
go2_contact_force_off_threshold,"FR=24.8;FL=25.2;RR=23.4;RL=24.0",input_native_units,BY2_PHYSICAL_INSTANTIATION,03_BY2_INPUT_AUDIT/CONTACT_THRESHOLD_PROPOSAL.yaml,FROZEN_BY2_INPUT_ONLY_CONTACT_POLICY,false,true,false
go2_contact_minimum_dwell,0.012035608291625977,s,BY2_PHYSICAL_INSTANTIATION,03_BY2_INPUT_AUDIT/CONTACT_THRESHOLD_PROPOSAL.yaml,FROZEN_BY2_INPUT_ONLY_CONTACT_POLICY,false,true,false
observability_svd_absolute_floor,1.0e-12,dimensionless,PAPER_DERIVED,04_METHOD_CONTRACTS/HARTLEY_NUMERICAL_OBSERVABILITY_CONTRACT.yaml,H0_H2_DECLARED_NOT_PAPER_DIRECT,false,true,false
observability_svd_relative_threshold,1.0e-9,dimensionless,PAPER_DERIVED,04_METHOD_CONTRACTS/HARTLEY_NUMERICAL_OBSERVABILITY_CONTRACT.yaml,H0_H2_DECLARED_NOT_PAPER_DIRECT,false,true,false
