sequence_id,configuration_id,subset_case_id,segment_id,native_status,status,attempted,accepted,rejected,nis_rejected,nis_rejection_rate,nis_rejection_denominator,reason_counts,source
BY2O,F02,,full,COMPLETED,AVAILABLE,1591,1591,0,0,0.0,all B3 attempts in this sequence/case/segment,"{""BASIC_ACCEPT"": 1591, ""provider_invalid"": 291}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F02/B3
BY2O,F02,,occlusion_primary,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 210}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F02/B3
BY2O,F02,,occlusion_secondary,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 65}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F02/B3
BY2O,F02,,inside_union,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 275}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F02/B3
BY2O,F02,,outside,COMPLETED,AVAILABLE,1591,1591,0,0,0.0,all B3 attempts in this sequence/case/segment,"{""BASIC_ACCEPT"": 1591, ""provider_invalid"": 16}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F02/B3
BY2O,A04,,full,COMPLETED,AVAILABLE,1591,1227,364,364,0.22878692646134507,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1227, ""NIS_3DOF_REJECT"": 364, ""provider_invalid"": 291}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/A04/B3
BY2O,A04,,occlusion_primary,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 210}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/A04/B3
BY2O,A04,,occlusion_secondary,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 65}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/A04/B3
BY2O,A04,,inside_union,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 275}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/A04/B3
BY2O,A04,,outside,COMPLETED,AVAILABLE,1591,1227,364,364,0.22878692646134507,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1227, ""NIS_3DOF_REJECT"": 364, ""provider_invalid"": 16}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/A04/B3
BY2O,F04,,full,COMPLETED,AVAILABLE,1591,1228,363,363,0.22815839094908863,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1228, ""NIS_3DOF_REJECT"": 363, ""provider_invalid"": 291}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F04/B3
BY2O,F04,,occlusion_primary,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 210}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F04/B3
BY2O,F04,,occlusion_secondary,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 65}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F04/B3
BY2O,F04,,inside_union,COMPLETED,AVAILABLE,0,0,0,0,UNAVAILABLE,all B3 attempts in this sequence/case/segment,"{""provider_invalid"": 275}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F04/B3
BY2O,F04,,outside,COMPLETED,AVAILABLE,1591,1228,363,363,0.22815839094908863,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1228, ""NIS_3DOF_REJECT"": 363, ""provider_invalid"": 16}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2O/F04/B3
BY2,F04,C00_clean_normal,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/C00_clean_normal/B3
BY2,F04,C00_clean_normal,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/C00_clean_normal/B3
BY2,F04,D01_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D01_seed_00/B3
BY2,F04,D01_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D01_seed_00/B3
BY2,F04,D02_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D02_seed_00/B3
BY2,F04,D02_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D02_seed_00/B3
BY2,F04,D03_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D03_seed_00/B3
BY2,F04,D03_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D03_seed_00/B3
BY2,F04,D04_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D04_seed_00/B3
BY2,F04,D04_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D04_seed_00/B3
BY2,F04,D05_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D05_seed_00/B3
BY2,F04,D05_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D05_seed_00/B3
BY2,F04,D06_seed_00,full,COMPLETED,AVAILABLE,1369,1011,358,358,0.26150474799123447,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1011, ""NIS_3DOF_REJECT"": 358}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D06_seed_00/B3
BY2,F04,D06_seed_00,outside,COMPLETED,AVAILABLE,1369,1011,358,358,0.26150474799123447,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1011, ""NIS_3DOF_REJECT"": 358}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D06_seed_00/B3
BY2,F04,D07_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D07_seed_00/B3
BY2,F04,D07_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D07_seed_00/B3
BY2,F04,D08_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D08_seed_00/B3
BY2,F04,D08_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D08_seed_00/B3
BY2,F04,D09_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D09_seed_00/B3
BY2,F04,D09_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D09_seed_00/B3
BY2,F04,D10_seed_00,full,COMPLETED,AVAILABLE,1369,1014,355,355,0.25931336742147554,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1014, ""NIS_3DOF_REJECT"": 355}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D10_seed_00/B3
BY2,F04,D10_seed_00,outside,COMPLETED,AVAILABLE,1369,1014,355,355,0.25931336742147554,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1014, ""NIS_3DOF_REJECT"": 355}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D10_seed_00/B3
BY2,F04,D11_seed_00,full,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D11_seed_00/B3
BY2,F04,D11_seed_00,outside,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D11_seed_00/B3
BY2,F04,D12_seed_00,full,COMPLETED,AVAILABLE,1369,1015,354,354,0.25858290723155586,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1015, ""NIS_3DOF_REJECT"": 354}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D12_seed_00/B3
BY2,F04,D12_seed_00,outside,COMPLETED,AVAILABLE,1369,1015,354,354,0.25858290723155586,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1015, ""NIS_3DOF_REJECT"": 354}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D12_seed_00/B3
BY2,F04,D13_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D13_seed_00/B3
BY2,F04,D13_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D13_seed_00/B3
BY2,F04,D14_seed_00,full,COMPLETED,AVAILABLE,1369,990,379,379,0.2768444119795471,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 990, ""NIS_3DOF_REJECT"": 379}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D14_seed_00/B3
BY2,F04,D14_seed_00,outside,COMPLETED,AVAILABLE,1369,990,379,379,0.2768444119795471,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 990, ""NIS_3DOF_REJECT"": 379}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D14_seed_00/B3
BY2,F04,D15_seed_00,full,COMPLETED,AVAILABLE,1369,714,655,655,0.4784514243973703,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 714, ""NIS_3DOF_REJECT"": 655}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D15_seed_00/B3
BY2,F04,D15_seed_00,outside,COMPLETED,AVAILABLE,1369,714,655,655,0.4784514243973703,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 714, ""NIS_3DOF_REJECT"": 655}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D15_seed_00/B3
BY2,F04,D16_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D16_seed_00/B3
BY2,F04,D16_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D16_seed_00/B3
BY2,F04,D17_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D17_seed_00/B3
BY2,F04,D17_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D17_seed_00/B3
BY2,F04,D18_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D18_seed_00/B3
BY2,F04,D18_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D18_seed_00/B3
BY2,F04,D19_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D19_seed_00/B3
BY2,F04,D19_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D19_seed_00/B3
BY2,F04,D20_seed_00,full,COMPLETED,AVAILABLE,1369,1016,353,353,0.25785244704163623,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1016, ""NIS_3DOF_REJECT"": 353}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D20_seed_00/B3
BY2,F04,D20_seed_00,outside,COMPLETED,AVAILABLE,1369,1016,353,353,0.25785244704163623,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1016, ""NIS_3DOF_REJECT"": 353}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D20_seed_00/B3
BY2,F04,D21_seed_00,full,COMPLETED,AVAILABLE,1369,1019,350,350,0.2556610664718773,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1019, ""NIS_3DOF_REJECT"": 350}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D21_seed_00/B3
BY2,F04,D21_seed_00,outside,COMPLETED,AVAILABLE,1369,1019,350,350,0.2556610664718773,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1019, ""NIS_3DOF_REJECT"": 350}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D21_seed_00/B3
BY2,F04,D22_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D22_seed_00/B3
BY2,F04,D22_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D22_seed_00/B3
BY2,F04,D23_seed_00,full,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D23_seed_00/B3
BY2,F04,D23_seed_00,outside,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D23_seed_00/B3
BY2,F04,D24_seed_00,full,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D24_seed_00/B3
BY2,F04,D24_seed_00,outside,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D24_seed_00/B3
BY2,F04,D25_seed_00,full,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D25_seed_00/B3
BY2,F04,D25_seed_00,outside,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D25_seed_00/B3
BY2,F04,D26_seed_00,full,COMPLETED,AVAILABLE,1369,1011,358,358,0.26150474799123447,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1011, ""NIS_3DOF_REJECT"": 358}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D26_seed_00/B3
BY2,F04,D26_seed_00,outside,COMPLETED,AVAILABLE,1369,1011,358,358,0.26150474799123447,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1011, ""NIS_3DOF_REJECT"": 358}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D26_seed_00/B3
BY2,F04,D27_seed_00,full,ALGORITHM_FAILURE_DIVERGED,AVAILABLE,1369,83,1286,1286,0.9393718042366691,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 83, ""NIS_3DOF_REJECT"": 1286}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D27_seed_00/B3
BY2,F04,D27_seed_00,outside,ALGORITHM_FAILURE_DIVERGED,AVAILABLE,1369,83,1286,1286,0.9393718042366691,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 83, ""NIS_3DOF_REJECT"": 1286}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D27_seed_00/B3
BY2,F04,D28_seed_00,full,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D28_seed_00/B3
BY2,F04,D28_seed_00,outside,COMPLETED,AVAILABLE,1369,1013,356,356,0.26004382761139516,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1013, ""NIS_3DOF_REJECT"": 356}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D28_seed_00/B3
BY2,F04,D29_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D29_seed_00/B3
BY2,F04,D29_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D29_seed_00/B3
BY2,F04,D30_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D30_seed_00/B3
BY2,F04,D30_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D30_seed_00/B3
BY2,F04,D31_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D31_seed_00/B3
BY2,F04,D31_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D31_seed_00/B3
BY2,F04,D32_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D32_seed_00/B3
BY2,F04,D32_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D32_seed_00/B3
BY2,F04,D33_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D33_seed_00/B3
BY2,F04,D33_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D33_seed_00/B3
BY2,F04,D34_seed_00,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D34_seed_00/B3
BY2,F04,D34_seed_00,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/05_NATIVE_SUBSET61/D34_seed_00/B3
