source_id,title,authors,doi,version,pages,bytes,sha256,hash_scope,license,access_status,endpoint,equation_relevance,relationship,provenance_class,closure_effect,repository_tree_oid
YIN2023_DATA_CODE_STATEMENT,"Data Availability Statement and software acknowledgement","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,VOR_PAGE_26_AND_V2_PAGE_23,2_EMBEDDED_LOCATIONS,NOT_APPLICABLE,NOT_APPLICABLE,EMBEDDED_IN_PINNED_YIN_PDFS,CC_BY_4_0,FULL_TEXT_INSPECTED_IN_BOTH_PDFS,https://www.mdpi.com/2072-4292/15/17/4125#dataavailability,"Data available on request; KF-GINS acknowledged; no Yin adaptive/robust code URL",PRIMARY_METHOD_SOURCE,PAPER_DIRECT,"No attributable Yin branch implementation supplied",NOT_APPLICABLE
YIN_AUTHOR_INSTITUTION_REPOSITORY_SEARCH,"Attributable author, SDUST, GitHub, and GitLab source search","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,FOCUSED_SEARCH_2026_08_24,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CAPTURED,NOT_APPLICABLE,"SDUST/GITHUB/GITLAB_ENDPOINTS_HTTP_200_NO_ATTRIBUTABLE_YIN_CODE_FOUND","https://www.sdust.edu.cn/ ; https://github.com/search?q=%2210.3390%2Frs15174125%22&type=repositories ; https://gitlab.com/explore/projects?name=rs15174125","Yin-specific implementation",ATTRIBUTABLE_ENDPOINT_SEARCH,CURRENTLY_UNKNOWN,"NO_ATTRIBUTABLE_YIN_IMPLEMENTATION_FOUND; cited KF-GINS remains base-only",NOT_APPLICABLE
YANG_HE_XU_2001,"Adaptively robust filtering for kinematic geodetic positioning","Y. Yang; H. He; G. Xu",10.1007/s001900000157,"Journal of Geodesy 75:109-116 (2001)",8,NOT_CAPTURED,NOT_APPLICABLE,NOT_CAPTURED,SPRINGER_PUBLISHER_TERMS,OFFICIAL_SPRINGER_METADATA_INSPECTED,https://link.springer.com/article/10.1007/s001900000157,"Adaptive robust factor family and exact publication identity",ROBUST_ADAPTIVE_FOUNDATIONAL_SOURCE,CITED_SOURCE_CANDIDATE,DOES_NOT_UNIQUELY_CLOSE_YIN_AKF_STATISTIC,NOT_APPLICABLE
YANG_HE_XU_2001_AUTHOR_UPLOAD,"Adaptively robust filtering for kinematic geodetic positioning","Y. Yang; H. He; G. Xu",10.1007/s001900000157,PUBLIC_ATTRIBUTABLE_AUTHOR_UPLOAD,8,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_UNSTATED,PUBLIC_AUTHOR_UPLOAD_INSPECTED,https://www.researchgate.net/publication/225571259_Adaptively_robust_filtering_for_kinematic_geodetic_positioning,"V_i/r_i independent standardization; dependent max-based factor; predicted-position covariance-trace adaptive discrepancy",ROBUST_ADAPTIVE_FOUNDATIONAL_SOURCE,CITED_SOURCE_CANDIDATE,"Plausible cited-standard construction, not unique Yin notation mapping",NOT_APPLICABLE
YANG_CHENG_SHUM_TAPLEY_1999,"Robust estimation of systematic errors of satellite laser range","Y. Yang; M. Cheng; C. Shum; B. Tapley",10.1007/s001900050252,"Journal of Geodesy 73:345-349 (1999)",5,NOT_CAPTURED,NOT_APPLICABLE,NOT_CAPTURED,SPRINGER_PUBLISHER_TERMS,OFFICIAL_SPRINGER_METADATA_INSPECTED,https://link.springer.com/article/10.1007/s001900050252,"Direct Knight-cited IGGIII source",ROBUST_IGGIII_FOUNDATIONAL_SOURCE,CITED_SOURCE_CANDIDATE,"Direct chain source; exact equations inspected in author upload",NOT_APPLICABLE
YANG_CHENG_SHUM_TAPLEY_1999_AUTHOR_UPLOAD,"Robust estimation of systematic errors of satellite laser range","Y. Yang; M. Cheng; C. Shum; B. Tapley",10.1007/s001900050252,PUBLIC_ATTRIBUTABLE_AUTHOR_UPLOAD,5,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_UNSTATED,PUBLIC_AUTHOR_UPLOAD_INSPECTED,https://www.researchgate.net/publication/225929212_Robust_estimation_of_systematic_errors_of_satellite_laser_range,"v_i/sigma_i; MAD-based robust scale; zero static weight; exponent-two middle factor",ROBUST_IGGIII_FOUNDATIONAL_SOURCE,CITED_SOURCE_CANDIDATE,"Differs from Yin cubic factor and does not define Kalman zero inverse",NOT_APPLICABLE
YANG_SONG_XU_2002,"Robust estimator for correlated observations based on bifactor equivalent weights","Y. Yang; L. Song; T. Xu",10.1007/s00190-002-0256-7,"Journal of Geodesy 76:353-358 (2002)",6,NOT_CAPTURED,NOT_APPLICABLE,NOT_CAPTURED,SPRINGER_PUBLISHER_TERMS,OFFICIAL_SPRINGER_METADATA_INSPECTED,https://link.springer.com/article/10.1007/s00190-002-0256-7,"Direct correlated-equivalent-weight chain",CORRELATED_WEIGHT_FOUNDATIONAL_SOURCE,CITED_SOURCE_CANDIDATE,"No explicit Yin adoption; cannot select a general Eq.11 matrix",NOT_APPLICABLE
YANG_SONG_XU_2002_AUTHOR_UPLOAD,"Robust estimator for correlated observations based on bifactor equivalent weights","Y. Yang; L. Song; T. Xu",10.1007/s00190-002-0256-7,PUBLIC_ATTRIBUTABLE_AUTHOR_UPLOAD,6,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_UNSTATED,PUBLIC_AUTHOR_UPLOAD_INSPECTED,https://www.researchgate.net/publication/227183024_Robust_estimator_for_correlated_observations_based_on_bifactor_equivalent_weights,"pbar_ij=c_ij p_ij; c_ij=sqrt(c_ii c_jj); zero diagonal factor eliminates static observation",CORRELATED_WEIGHT_FOUNDATIONAL_SOURCE,CITED_SOURCE_CANDIDATE,"Symmetric bifactor candidate differs from IGGIII and is not unique Yin closure",NOT_APPLICABLE
YANG_1994_DEPENDENT_OBSERVATIONS,"Robust estimation for dependent observations","Y. Yang",10.1007/BF03655325,"Manuscripta Geodaetica 19:10-17 (1994)",8,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,SUBSCRIPTION_PUBLISHER_TERMS,"OFFICIAL_SPRINGER_SUBSCRIPTION; RESEARCHGATE_REQUEST_ONLY","https://link.springer.com/article/10.1007/BF03655325 ; https://www.researchgate.net/publication/385014952_Robust_estimation_for_dependent_observations","Direct dependent-observation robust source; exact equations inaccessible",DEPENDENT_OBSERVATION_FOUNDATIONAL_SOURCE,CITED_SOURCE,NOT_SOURCE_CLOSED,NOT_APPLICABLE
YIN_REF35_JIANG2020,"Filtering algorithms and reliability analysis for GNSS/INS integrated navigation systems","C. Jiang",10.11947/j.AGCS.2020.20190429,"Acta Geodaetica et Cartographica Sinica 49(10):1376-1376 (2020)",1,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_NOT_FOUND,"EXACT_ONE_PAGE_DISSERTATION_SYNOPSIS; NO_ATTRIBUTABLE_FULL_DISSERTATION","https://doi.org/10.11947/j.AGCS.2020.20190429","Yin Eq.6 prediction-residual citation",DIRECT_YIN_CITATION,CITED_SOURCE,DOES_NOT_CLOSE_DIMENSION_OR_NORMALIZATION,NOT_APPLICABLE
YIN_REF36_YANG2013,"Main Progress of Adaptively Robust Filter with Applications in Navigation","Y. Yang; X. Ren; Y. Xu",10.16547/j.cnki.10-1096.2013.01.006,"Journal of Navigation and Positioning 1(1):9-15 (2013)",7,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_NOT_FOUND,"OFFICIAL_JOURNAL_METADATA_AND_ABSTRACT; pdfUrl_NULL; previewPdfUrl_NULL; CNKI_FULL_TEXT_NOT_ACCESSED",https://chwz.cbpt.cnki.net/portal/journal/portal/client/paper/fc98d242cf75f6fc40f60c52b04b2b76,"Residual-vector citation added in author response; author response renders Main Process but official title is Main Progress",DIRECT_YIN_CITATION,CITED_SOURCE,NOT_SOURCE_CLOSED,NOT_APPLICABLE
YIN_REF37_JIANG2021,"Performance Evaluation of the Filters with Adaptive Factor and Fading Factor for GNSS/INS Integrated Systems","C. Jiang; S. Zhang; H. Li; Z. Li",10.1007/s10291-021-01165-4,"GPS Solutions 25:130 (2021)",11,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,"THE_AUTHORS_UNDER_EXCLUSIVE_LICENCE_TO_SPRINGER_VERLAG_GMBH_GERMANY_2021",OFFICIAL_SPRINGER_SUBSCRIPTION_METADATA_ONLY,https://link.springer.com/article/10.1007/s10291-021-01165-4,"Extremum condition and branch construction",DIRECT_YIN_CITATION,CITED_SOURCE,NOT_SOURCE_CLOSED,NOT_APPLICABLE
JIANG2021_NCWU_METADATA,"NCWU institutional listing for Jiang et al. 2021","C. Jiang; S. Zhang; H. Li; Z. Li",10.1007/s10291-021-01165-4,INSTITUTIONAL_METADATA,11,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_NOT_STATED,METADATA_ONLY_NO_FULL_EQUATIONS,https://www2.ncwu.edu.cn/cehui/info/1109/1814.htm,"Institutional attribution and publication metadata",ATTRIBUTABLE_INSTITUTION_ENDPOINT,CITED_SOURCE_METADATA,DOES_NOT_CLOSE_EQUATIONS,NOT_APPLICABLE
YIN_REF38_KNIGHT2009,"A Comparison of Outlier Detection Procedures and Robust Estimation Methods in GPS Positioning","N. L. Knight; J. Wang",10.1017/S0373463309990142,"Journal of Navigation 62(4):699-709 (2009)",11,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,"COPYRIGHT_THE_ROYAL_INSTITUTE_OF_NAVIGATION_2009; SUBSCRIPTION",OFFICIAL_CAMBRIDGE_METADATA_AND_ACCESS_BOUNDARY_INSPECTED,https://www.cambridge.org/core/journals/journal-of-navigation/article/abs/comparison-of-outlier-detection-procedures-and-robust-estimation-methods-in-gps-positioning/8C40F30ED6ACF28B3B80FD119BF59D36,"Inline Yin citation for IGGIII; Knight points to Yang 1999 and discusses studentised residuals",DIRECT_YIN_CITATION,CITED_SOURCE,"Does not uniquely define Yin standardizer, correlated matrix, or Kalman zero operation",NOT_APPLICABLE
KNIGHT2009_UNSW_METADATA,"UNSW Jinling Wang publication-list record for Knight and Wang 2009","N. L. Knight; J. Wang",10.1017/S0373463309990142,UNSW_PUBLICATION_METADATA,11,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,LICENSE_NOT_STATED,METADATA_ONLY,https://research.unsw.edu.au/people/associate-professor-jinling-wang/publications?page=2&type=journalarticles,"Author-affiliation attribution only",ATTRIBUTABLE_AUTHOR_INSTITUTION_ENDPOINT,CITED_SOURCE_METADATA,DOES_NOT_CLOSE_EQUATIONS,NOT_APPLICABLE
KNIGHT2009_RESEARCHGATE_AUTHOR_UPLOAD,"A Comparison of Outlier Detection Procedures and Robust Estimation Methods in GPS Positioning","N. L. Knight; J. Wang",10.1017/S0373463309990142,PUBLIC_AUTHOR_UPLOAD_ATTRIBUTABLE_TO_JINLING_WANG,11,NOT_RETAINED,NOT_APPLICABLE,NOT_CAPTURED,REUSE_LICENSE_UNSTATED,PUBLIC_AUTHOR_UPLOAD_INSPECTED,https://www.researchgate.net/publication/231786405_A_Comparison_of_Outlier_Detection_Procedures_and_Robust_Estimation_Methods_in_GPS_Positioning,"Studentised-residual discussion; direct citation to Yang 1999 IGGIII",DIRECT_YIN_CITATION,CITED_SOURCE_CANDIDATE,"No unique Yin Kalman standardization or zero-inverse completion",NOT_APPLICABLE
YIN_REF39_NIU2022,"An Algorithm to Assist the Robust Filter for Tightly Coupled RTK/INS Navigation System","Z. Niu; G. Li; F. Guo; Q. Shuai; B. Zhu",10.3390/rs14102449,"Remote Sensing 14:2449 (2022)",34,13374059,96b953d6ebd819a620948767c90cc78ad544efe8b00a5bf9ab9ae328bcdec487,OFFICIAL_PDF_BYTES,CC_BY_4_0,FULL_OFFICIAL_PDF_INSPECTED,https://mdpi-res.com/d_attachment/remotesensing/remotesensing-14-02449/article_deploy/remotesensing-14-02449.pdf,"S_ii standardizer; correlated eta; upper-band discard",YIN_STANDALONE_RKF_EXPERIMENT_CITATION,CITED_SOURCE_CANDIDATE,PLAUSIBLE_COMPLETION_NOT_UNIQUE_YIN_PROOF,NOT_APPLICABLE
NIU_TCRTKINS_REPOSITORY,"TCRTKINS author repository","Z. Niu and contributors",10.3390/rs14102449,"commit 13e8fa1a988f673c43af70746de1bcbeb1ec2ea3",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,GIT_OBJECT_ID_RECORDED_SEPARATELY,NO_LICENSE_FILE,ATTRIBUTABLE_CLEAN_COMMIT_INSPECTED_READ_ONLY,https://github.com/Nronaldo/TCRTKINS,"Concrete ref39 standardizer and rejection implementation",OFFICIAL_CODE_FOR_CITED_REF39_NOT_YIN,OFFICIAL_CODE_FOR_CITED_SOURCE,PLAUSIBLE_COMPLETION_NOT_UNIQUE_YIN_PROOF,00159f613872e6e9286ddfb5bead2c11b8d6c82f
NIU_TCRTKINS_FUSION_CPP,"TCRTKINS source/Fusion.cpp","Z. Niu and contributors",10.3390/rs14102449,"commit 13e8fa1a988f673c43af70746de1bcbeb1ec2ea3",NOT_APPLICABLE,37929,df4cb2783fdfa07932e25a726739c2716c112ac607e72dd9411e42b7fa2a43df,FILE_BYTES,NO_LICENSE_FILE,ATTRIBUTABLE_FILE_INSPECTED_READ_ONLY,https://github.com/Nronaldo/TCRTKINS/blob/13e8fa1a988f673c43af70746de1bcbeb1ec2ea3/source/Fusion.cpp,"Lines291-423: S standardizer; exponent-two factor; H/v/R row deletion; simple covariance",OFFICIAL_CODE_FOR_CITED_REF39_NOT_YIN,OFFICIAL_CODE_FOR_CITED_SOURCE,DIFFERS_FROM_YIN_MIDDLE_WEIGHT_AND_CITATION_ROLE,00159f613872e6e9286ddfb5bead2c11b8d6c82f
NIU_TCRTKINS_CONFIG,"TCRTKINS conf/TC_conf.ini","Z. Niu and contributors",10.3390/rs14102449,"commit 13e8fa1a988f673c43af70746de1bcbeb1ec2ea3",NOT_APPLICABLE,5228,6694285358c6cf3bb84596f0e9945caa0e7e0c63f0a04a632d4624beb3337758,FILE_BYTES,NO_LICENSE_FILE,ATTRIBUTABLE_FILE_INSPECTED_READ_ONLY,https://github.com/Nronaldo/TCRTKINS/blob/13e8fa1a988f673c43af70746de1bcbeb1ec2ea3/conf/TC_conf.ini,"Ref39 code thresholds c0=2 and c1=4",OFFICIAL_CODE_FOR_CITED_REF39_NOT_YIN,OFFICIAL_CODE_FOR_CITED_SOURCE,NOT_YIN_THRESHOLDS_1_15_AND_4_45,00159f613872e6e9286ddfb5bead2c11b8d6c82f
SDUST_CN117647251A,"A robust-adaptive integrated-navigation method described in CN117647251A","Yin Zhihui; Ma Yue; Wang Shengli; additional inventors listed in patent",NOT_APPLICABLE,"filed 2024-01-30; published 2024-03-05",21,1146875,83069a9fa7441468ade83c9295e8ab440b0942506229dfbbfc22382e76934edd,OFFICIAL_PATENT_PDF_BYTES,PATENT_PUBLICATION,FULL_OFFICIAL_PATENT_PDF_INSPECTED,https://patentimages.storage.googleapis.com/90/25/9f/c3aa4c9152f632/CN117647251A.pdf,"Competing Eq.6 covariance wording; same-prior statement; persistent L/Z split",POST_PUBLICATION_RELATED_NOT_EXACT,AUTHOR_INSTITUTION_POST_PUBLICATION_RELATED_PRIMARY,"Cannot backfill changed 4D position-plus-heading method, weights, exponent, R powers, or thresholds",NOT_APPLICABLE
KFGINS_ACKNOWLEDGED_BASE,"KF-GINS src/kf-gins/gi_engine.cpp","i2Nav-WHU contributors",NOT_APPLICABLE,"commit 08f9fce66028c65727b3f3c53f34f7dfd5a3c1c3",NOT_APPLICABLE,NOT_CAPTURED,f6295267e0d1a48d41284c4fe7ea25cba7225367c4fd2e03f65e5e334ded4260,PINNED_SOURCE_FILE_BYTES,GPL_3_0,ATTRIBUTABLE_ACKNOWLEDGED_BASE_SOURCE_INSPECTED_IN_Y0_Y3,https://raw.githubusercontent.com/i2Nav-WHU/KF-GINS/08f9fce66028c65727b3f3c53f34f7dfd5a3c1c3/src/kf-gins/gi_engine.cpp,"Base 21-state F/G and update source only; no Yin adaptive/robust modules",ACKNOWLEDGED_PARTIAL_SOURCE,CITED_SOURCE,CLOSES_BASE_NOT_YIN_BRANCH_SEMANTICS,NOT_APPLICABLE
KFGINS_INSMECH_FROZEN_Y0_Y3,"KF-GINS src/kf-gins/insmech.cpp","i2Nav-WHU contributors",NOT_APPLICABLE,"commit 08f9fce66028c65727b3f3c53f34f7dfd5a3c1c3",NOT_APPLICABLE,NOT_CAPTURED,d378260635afeceb3593ac3bf65a3c02c62efd1d0a742a1851db338eee88c30a,PINNED_SOURCE_FILE_BYTES,GPL_3_0,FROZEN_Y0_Y3_PROVENANCE_CROSS_REFERENCE,https://raw.githubusercontent.com/i2Nav-WHU/KF-GINS/08f9fce66028c65727b3f3c53f34f7dfd5a3c1c3/src/kf-gins/insmech.cpp,"Nominal two-sample NED mechanization; separate from gi_engine F/G hash",FROZEN_Y0_Y3_CITED_SOURCE_PROVENANCE,CITED_SOURCE,"Cross-reference only; original Y0-Y3 artifact remains immutable",NOT_APPLICABLE
