dataset,source_table,field,dtype,policy
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,quality_flag,object,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,contact_model,object,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,contact_label,object,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,frame_candidate,object,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,prior_policy,object,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,diagnostic_only,bool,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,go2_velocity_truth_claim,bool,FORBIDDEN_AS_TRUTH
BY2,BY2_GO2_FACTOR_PRIORS,time,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,roll_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,pitch_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,vn,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,ve,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,std_roll_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,std_pitch_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,std_vn,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,std_ve,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,std_vd,float64,DIAGNOSTIC_ONLY
BY2,BY2_GO2_FACTOR_PRIORS,update_flag,bool,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,source_status,object,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_FACTOR_PRIORS,policy,object,UNKNOWN_WITH_PROOF
BY2,BY2_GO2_FACTOR_PRIORS,mode,int64,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_FACTOR_PRIORS,gait_type,int64,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_FACTOR_PRIORS,go2_truth_claim,bool,FORBIDDEN_AS_TRUTH
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,timestamp,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,roll,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,pitch,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,yaw,unknown,FORBIDDEN_AS_TRUTH
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,angular_velocity,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,linear_velocity,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,sportmodestate,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,contact,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,joint_state,unknown,UNKNOWN_WITH_PROOF
BY3,BY3_GO2_PROVIDER_NOT_FOUND_IN_CURRENT_WORKSPACE,quality_status,unknown,UNKNOWN_WITH_PROOF
